UT,49,1,Beaver County,H1
UT,49,3,Box Elder County,H1
UT,49,5,Cache County,H1
UT,49,7,Carbon County,H1
UT,49,9,Daggett County,H1
UT,49,11,Davis County,H1
UT,49,13,Duchesne County,H1
UT,49,15,Emery County,H1
UT,49,17,Garfield County,H1
UT,49,19,Grand County,H1
UT,49,21,Iron County,H1
UT,49,23,Juab County,H1
UT,49,25,Kane County,H1
UT,49,27,Millard County,H1
UT,49,29,Morgan County,H1
UT,49,31,Piute County,H1
UT,49,33,Rich County,H1
UT,49,35,Salt Lake County,H1
UT,49,37,San Juan County,H1
UT,49,39,Sanpete County,H1
UT,49,41,Sevier County,H1
UT,49,43,Summit County,H1
UT,49,45,Tooele County,H1
UT,49,47,Uintah County,H1
UT,49,49,Utah County,H1
UT,49,51,Wasatch County,H1
UT,49,53,Washington County,H1
UT,49,55,Wayne County,H1
UT,49,57,Weber County,H1
